猫鼠游戏,9.1,856615,骗子大师和执著警探的你追我跑故事。 ,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥,传记,美国,2002
天堂电影院,9.2,617840,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,朱塞佩·托纳多雷,菲利普·努瓦雷,剧情,意大利,1988
指环王2：双塔奇兵,9.2,667957,承前启后的史诗篇章。,彼得·杰克逊,伊利亚·伍德,剧情,美国,2002
闻香识女人,9.1,775611,史上最美的探戈。,马丁·布莱斯,阿尔·帕西诺,剧情,美国,1992
罗马假日,9.1,862970,爱情哪怕只有一天。,威廉·惠勒,奥黛丽·赫本,喜剧,美国,1953
钢琴家,9.2,528881,音乐能化解仇恨。,罗曼·波兰斯基,艾德里安·布洛迪,剧情,英国,2002
让子弹飞,8.9,1489420,你给我翻译翻译，神马叫做TMD的惊喜。,姜文,姜文,剧情,中国大陆,2010
指环王1：护戒使者,9.1,755845,传说的开始。,彼得·杰克逊,伊利亚·伍德,剧情,新西兰,2001
黑客帝国,9.1,752980,视觉革命。,信息不全,信息不全,信息不全,信息不全,信息不全
海蒂和爷爷,9.3,467185,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,阿兰·葛斯彭纳,阿努克·斯特芬,剧情,德国,2015
大闹天宫,9.4,377816,经典之作，历久弥新。,万籁鸣,邱岳峰,剧情,中国大陆,1961
辩护人,9.2,534346,电影的现实意义大过电影本身。,杨宇硕,宋康昊,剧情,韩国,2013
教父2,9.2,479802,优雅的孤独。,弗朗西斯·福特·科波拉,阿尔·帕西诺,剧情,美国,1974
死亡诗社,9.1,626405,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,彼得·威尔,罗宾·威廉姆斯,剧情,美国,1989
狮子王,9.1,743746,动物版《哈姆雷特》。,Roger,乔纳森·泰勒·托马...<br/>,动画,美国,1994
绿皮书,8.9,1426842,去除成见，需要勇气。,彼得·法雷里,维果·莫腾森,剧情,美国,2018
搏击俱乐部,9.0,759467,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,大卫·芬奇,爱德华·诺顿,剧情,美国,1999
饮食男女,9.2,541638,人生不能像做菜，把所有的料都准备好了才下锅。,李安,郎雄,剧情,中国台湾,1994
美丽心灵,9.1,684322,爱是一切逻辑和原由。,朗·霍华德,罗素·克劳,传记,美国,2001
本杰明·巴顿奇事,9.0,880616,在时间之河里感受溺水之苦。,大卫·芬奇,凯特·布兰切特,剧情,美国,2008
窃听风暴,9.2,502562,别样人生。,信息不全,信息不全,信息不全,信息不全,信息不全
情书,8.9,954291,暗恋的极致。,岩井俊二,中山美穗,剧情,日本,1995
两杆大烟枪,9.1,537920,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,Guy,Jason,剧情,英国,1998
穿条纹睡衣的男孩,9.2,481362,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,马克·赫尔曼,阿萨·巴特菲尔德,剧情,英国,2008
西西里的美丽传说,8.9,873461,美丽无罪。,朱塞佩·托纳多雷,莫妮卡·贝鲁奇,剧情,意大利,2000
看不见的客人,8.8,1109854,你以为你以为的就是你以为的。,奥里奥尔·保罗,马里奥·卡萨斯,剧情,西班牙,2016
拯救大兵瑞恩,9.1,579322,美利坚精神输出大片No1.,史蒂文·斯皮尔伯格,汤姆·汉克斯,剧情,美国,1998
飞越疯人院,9.1,501166,自由万岁。,米洛斯·福尔曼,杰克·尼科尔森,剧情,美国,1975
音乐之声,9.1,535883,用音乐化解仇恨，让歌声串起美好。,罗伯特·怀斯,朱莉·安德鲁斯,剧情,美国,1965
